cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.263,55.326",25.263,55.326,2,3.05,0.0,-0.07113183041415795
"25.263,55.327",25.263,55.327,1,4.1,0.0,0.2996666666666667
"25.263,55.328",25.263,55.328,1,4.4,0.0,0.4126353785103785
"25.263,55.329",25.263,55.329,1,4.0,0.0,0.2664230769230769
"25.263,55.332",25.263,55.332,1,4.7,0.0,0.4676638655462184
"25.263,55.414",25.263,55.414,1,3.9,0.0,0.4393333333333333
"25.264,55.286",25.264,55.286,1,4.9,0.0,0.3574429736929737
"25.264,55.289",25.264,55.289,1,5.0,0.0,
"25.264,55.292",25.264,55.292,1,4.9,1.0,0.5262814935064936
"25.264,55.3",25.264,55.3,3,4.466666666666667,0.3333333333333333,0.2583933084918192
"25.264,55.304",25.264,55.304,3,4.633333333333333,0.6666666666666666,0.3705637231691919
"25.264,55.305",25.264,55.305,1,4.4,0.0,0.4052757936507937
"25.264,55.313",25.264,55.313,1,,0.0,
"25.264,55.322",25.264,55.322,1,4.8,1.0,0.4811325051759835
"25.264,55.323",25.264,55.323,2,2.9,0.0,0.014792960858585849
"25.264,55.324",25.264,55.324,1,4.7,1.0,0.3641531593406593
"25.264,55.326",25.264,55.326,1,2.4,0.0,-0.0459891556772675
"25.264,55.329",25.264,55.329,1,4.4,1.0,0.3564617944147356
"25.264,55.33",25.264,55.33,1,4.6,1.0,0.4566244398875977
"25.264,55.42",25.264,55.42,1,4.3,0.0,
"25.264,55.422",25.264,55.422,1,4.1,0.0,0.3142683982683983
"25.264,55.424",25.264,55.424,1,4.2,0.0,0.341
"25.265,55.292",25.265,55.292,1,3.8,0.0,0.2428838806787083
"25.265,55.296",25.265,55.296,1,4.5,1.0,0.3578175390434697
"25.265,55.3",25.265,55.3,1,4.8,0.0,0.4750833333333333
"25.265,55.301",25.265,55.301,3,4.733333333333333,0.6666666666666666,0.40360011995279854
"25.265,55.302",25.265,55.302,2,4.55,0.5,0.449984126984127
"25.265,55.303",25.265,55.303,2,4.65,0.5,0.30862441643324
"25.265,55.304",25.265,55.304,1,4.5,1.0,0.3197483465608465
"25.265,55.31",25.265,55.31,3,4.466666666666666,0.6666666666666666,0.33695806189918504
"25.265,55.311",25.265,55.311,2,4.45,0.5,0.49431619769119767
"25.265,55.312",25.265,55.312,1,5.0,0.0,
